femenino,Nadelina,Galarza,TRANSV 10 # 4 - 82,Cali,NadelinaGalarzaJaquez@fleckens.hu,3115968716,1/6/1934,87,27907943,B-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,30/05/2021,11:20,AstraZeneca
femenino,Mara,Palomino,CLL 50 # 93 - 13,Cucuta,MaraPalominoReyes@rhyta.com,3169875611,1/19/1970,51,66470558,O+,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10/06/2021,11:20,AstraZeneca
femenino,Proserpina,Leal,CLL 5 # 45 - 90,Ibague,ProserpinaLealPantoja@dayrep.com,3015616216,4/3/1945,76,71789742,B+,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,03/06/2021,10:20,AstraZeneca
masculino,Quiliano,Lozada,DIAG 8 # 33 - 72,Villavicencio,QuilianoLozadaLomeli@armyspy.com,3145630607,12/28/1933,87,13067568,O+,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,03/06/2021,10:20,Pfizer
femenino,Candela,Muñiz,CRA 71 # 12 - 37,Bucaramanga,CandelaMunizAlarcon@dayrep.com,3158531751,10/13/1963,57,16395973,A+,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25/05/2021,11:20,Moderna
femenino,Diva,Flores,CLL 26 # 40 - 38,Pasto,DivaFloresGranados@gustr.com,3156551890,6/8/2000,21,14370735,O+,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,09/06/2021,10:40,AstraZeneca
masculino,Selim,Serna,TRANSV 92 # 44 - 48,Neiva,SelimSernaLuna@armyspy.com,3009609465,5/18/1943,78,67245550,O+,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,02/06/2021,11:20,Moderna
masculino,Idelfonso,Ruiz,CRA 26 # 72 - 95,Buenaventura,IdelfonsoRuizBustos@rhyta.com,3119325283,3/4/1990,31,26560456,O+,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,31/05/2021,10:40,Moderna
femenino,Edilma,Avilés,CRA 49 # 59 - 42,Pereira,EdilmaAvilesSolis@einrot.com,3128807269,11/4/1953,67,87689231,O+,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,12/06/2021,11:00,AstraZeneca
femenino,Zite,Argüello,CRA 35 # 21 - 13,Cali,ZiteArguelloMunguia@teleworm.us,3115557234,7/16/2002,18,21792435,O+,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,3,02/06/2021,10:40,AstraZeneca
